"PERIOD","SECTOR","CLASSIFICATION","UNIT_MEAS","VALUE","STATUS"
"2004","S1","P52","ACPP","-215.120309520299","A"
"2004","S1","P53","MCHF","-9981.43331959241","A"
"2004","S1","P53","AC","-608.183251954709","A"
"2004","S1","P53","ACPP","-573.570723076176","A"
"2004","S13","P3","MCHF","60689.9913975","A"
"2004","S13","P3","AC","1.08526696388716","A"
"2004","S13","P3","ACPP","1.21681400812081","A"
"2004","S14_S15","P3","MCHF","286606.41958698","A"
"2004","S14_S15","P3","AC","2.74416699701615","A"
"2004","S14_S15","P3","ACPP","1.947345469421","A"
"2004","S2","P7","MCHF","224734.062696227","A"
"2004","S2","P7","AC","6.90283277216552","A"
"2004","S2","P7","ACPP","4.94836461555681","A"
"2004","S2","P71","MCHF","153296.336962734","A"
"2004","S2","P71","AC","3.7184184923841","A"
"2004","S2","P71","ACPP","2.55146789554562","A"
